beta	category	phenocode	phenostring	pval	phewas_code	phewas_string	category_name	odds_ratio
-0.0141	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_HEADACHE1	Headache	0.7077	R18_HEADACHE1	Headache	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	0.985998939438759
0.0728	Diseases of the circulatory system	I9_ARTEMBTHRLOW	Arterial embolism and thrombosis of lower extremity artery	0.708	I9_ARTEMBTHRLOW	Arterial embolism and thrombosis of lower extremity artery	Diseases of the circulatory system	1.0755154123205
0.1045	Neoplasms from cancer register	C3_SPINAL_CORD_CRANIAL_AND_OTHER_CNS_EXALLC	Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system (other cancers excluded from controls)	0.7099	C3_SPINAL_CORD_CRANIAL_AND_OTHER_CNS_EXALLC	Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system (other cancers excluded from controls)	Neoplasms from cancer register	1.11015539386622
-0.0458	Mental and behavioural disorders	ERECTILE_DYSFUNCTION	Erectile dysfunction	0.71	ERECTILE_DYSFUNCTION	Erectile dysfunction	Mental and behavioural disorders	0.955232989685265
-0.058	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	D3_OTHERBLOOD	Oher diseases of blood and blood-forming organs	0.7103	D3_OTHERBLOOD	Oher diseases of blood and blood-forming organs	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	0.943649947436798
-0.1042	Congenital malformations, deformations and chromosomal abnormalities	Q17_OTHER_SPECIFE_CONGEN_MALFO_SYNDR_AFFECTING_MULTIPLE_SYSTEMS	Other specified congenital malformation syndromes affecting multiple systems	0.7104	Q17_OTHER_SPECIFE_CONGEN_MALFO_SYNDR_AFFECTING_MULTIPLE_SYSTEMS	Other specified congenital malformation syndromes affecting multiple systems	Congenital malformations, deformations and chromosomal abnormalities	0.901045070385025
0.104	Neoplasms from cancer register	C3_SPINAL_CORD_CRANIAL_AND_OTHER_CNS	Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system	0.7107	C3_SPINAL_CORD_CRANIAL_AND_OTHER_CNS	Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system	Neoplasms from cancer register	1.10960045491558
-0.0124	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_DYSPNOEA	Dyspnoea	0.7119	R18_DYSPNOEA	Dyspnoea	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	0.987676563211984
0.102	Diseases of the musculoskeletal system and connective tissue	M13_PATELLARTEND	Patellar tendinitis	0.713	M13_PATELLARTEND	Patellar tendinitis	Diseases of the musculoskeletal system and connective tissue	1.10738347172793
-0.0329	Neoplasms from hospital discharges	CD2_BENIGN_BREAST_EXALLC	Benign neoplasm of breast (other cancers excluded from controls)	0.7131	CD2_BENIGN_BREAST_EXALLC	Benign neoplasm of breast (other cancers excluded from controls)	Neoplasms from hospital discharges	0.967635318282845
0.11	Diabetes endpoints	DM_PERIPH_ANGIOPATHY	Peripheral angiopathy	0.714	DM_PERIPH_ANGIOPATHY	Peripheral angiopathy	Diabetes endpoints	1.11627807045887
-0.055	Diseases of the digestive system	K11_FEMHER	Femoral hernia	0.7144	K11_FEMHER	Femoral hernia	Diseases of the digestive system	0.946485147953484
-0.0315	Diseases of the digestive system	ABDOM_HERNIA_POSTOP	Hernia of abodminal wall, postoperative	0.7145	ABDOM_HERNIA_POSTOP	Hernia of abodminal wall, postoperative	Diseases of the digestive system	0.96899095645374
0.0582	Mental and behavioural disorders	F5_DISSOCIATIVE	Dissociative [conversion] disorders	0.7145	F5_DISSOCIATIVE	Dissociative [conversion] disorders	Mental and behavioural disorders	1.05992695990514
-0.1234	Diseases of the digestive system	K11_PULC	Peptic ulcer	0.7151	K11_PULC	Peptic ulcer	Diseases of the digestive system	0.883910027827458
-0.0252	Diseases of the musculoskeletal system and connective tissue	M13_ENTESOPATHYLOW	Enthesopathies of lower limb, excluding foot	0.7152	M13_ENTESOPATHYLOW	Enthesopathies of lower limb, excluding foot	Diseases of the musculoskeletal system and connective tissue	0.975114869550825
0.0718	Gastrointestinal endpoints	CHIRHEP_NAS	Chirrosis of liver, NAS	0.7154	CHIRHEP_NAS	Chirrosis of liver, NAS	Gastrointestinal endpoints	1.07444043448667
0.0294	Pregnancy, childbirth and the puerperium	O15_MAT_CARE_MALPRESENT	Maternal care for known or suspected malpresentation of fetus	0.7169	O15_MAT_CARE_MALPRESENT	Maternal care for known or suspected malpresentation of fetus	Pregnancy, childbirth and the puerperium	1.02983644667787
0.104	Diseases of the musculoskeletal system and connective tissue	M13_DERMATOPOLY	Dermatopolymyositis	0.7172	M13_DERMATOPOLY	Dermatopolymyositis	Diseases of the musculoskeletal system and connective tissue	1.10960045491558
0.0318	Asthma and related endpoints	ASTHMA_ALLERG	Asthma and allergy	0.7179	ASTHMA_ALLERG	Asthma and allergy	Asthma and related endpoints	1.03231102245303
0.0952	Diabetes endpoints	T1D_WIDE2	Type 1 diabetes, wide definition, subgroup 2	0.7181	T1D_WIDE2	Type 1 diabetes, wide definition, subgroup 2	Diabetes endpoints	1.09987880889177
0.0933	Diseases of the skin and subcutaneous tissue	L12_LOCALDCONNECTISSUEOTH	Other localized connective tissue disorders	0.7194	L12_LOCALDCONNECTISSUEOTH	Other localized connective tissue disorders	Diseases of the skin and subcutaneous tissue	1.09779102317938
-0.0312	Diseases of the digestive system	K11_UC_STRICT2	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	0.7196	K11_UC_STRICT2	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	Diseases of the digestive system	0.96928169734963
0.0854	Diseases of the ear and mastoid process	H8_EUSTNAS	Other disorders of Eustachian tube	0.72	H8_EUSTNAS	Other disorders of Eustachian tube	Diseases of the ear and mastoid process	1.08915264063406
-0.1046	Diseases of the musculoskeletal system and connective tissue	M13_BURSCYSTOTH	Other bursal cyst	0.7204	M13_BURSCYSTOTH	Other bursal cyst	Diseases of the musculoskeletal system and connective tissue	0.900684724430866
0.0306	Injury, poisoning and certain other consequences of external causes	ST19_FOREI_BODY_EXTER_EYE	Foreign body on external eye	0.7218	ST19_FOREI_BODY_EXTER_EYE	Foreign body on external eye	Injury, poisoning and certain other consequences of external causes	1.03107299219281
-0.1155	Factors influencing health status and contact with health services	Z21_PERSONAL_HISTORY_CERTA_OTH_DISEA	Personal history of certain other diseases	0.7219	Z21_PERSONAL_HISTORY_CERTA_OTH_DISEA	Personal history of certain other diseases	Factors influencing health status and contact with health services	0.890920572237078
0.0755	Neoplasms from hospital discharges	CD2_BENIGN_ANUS_ANAL_CANAL	Benign neoplasm: Anus and anal canal	0.7222	CD2_BENIGN_ANUS_ANAL_CANAL	Benign neoplasm: Anus and anal canal	Neoplasms from hospital discharges	1.07842322771805
-0.0486	Certain infectious and parasitic diseases	TBC_RESP	Respiratory tuberculosis	0.7227	TBC_RESP	Respiratory tuberculosis	Certain infectious and parasitic diseases	0.952562078335032
0.0197	Diseases of the genitourinary system	N14_FIOTHNAS	Female infertility, cervigal, vaginal, other or unspecified origin	0.7228	N14_FIOTHNAS	Female infertility, cervigal, vaginal, other or unspecified origin	Diseases of the genitourinary system	1.01989532552922
0.0101	Diseases of the respiratory system	J10_PNEUMONAS	Pneumonia, organism unsepcified	0.724	J10_PNEUMONAS	Pneumonia, organism unsepcified	Diseases of the respiratory system	1.0101511771513
0.0361	Diseases of the nervous system	G6_MYONEU	Diseases of the myoneural junction and muscle	0.7243	G6_MYONEU	Diseases of the myoneural junction and muscle	Diseases of the nervous system	1.03675951725902
-0.0689	Diseases of the circulatory system	I9_AORTDIS	Dissection of aorta	0.7244	I9_AORTDIS	Dissection of aorta	Diseases of the circulatory system	0.933420017412999
-0.0258	Pregnancy, childbirth and the puerperium	O15_PREG_MATERN_CARE	Maternal care for other conditions predominantly related to pregnancy	0.7262	O15_PREG_MATERN_CARE	Maternal care for other conditions predominantly related to pregnancy	Pregnancy, childbirth and the puerperium	0.974529976114672
-0.0546	Diseases of the nervous system	G6_CERCYST	Cerebral cysts	0.7265	G6_CERCYST	Cerebral cysts	Diseases of the nervous system	0.946863817741574
-0.1182	Interstitial lung disease endpoints	RESP_ILL_DIS_CLASS_ELSEWHERE	Respiratory disorders in diseases classified elsewhere	0.7287	RESP_ILL_DIS_CLASS_ELSEWHERE	Respiratory disorders in diseases classified elsewhere	Interstitial lung disease endpoints	0.888518331176831
-0.0253	Injury, poisoning and certain other consequences of external causes	ST19_SUPERF_INJURY_LOWER_LEG	Superficial injury of lower leg	0.7289	ST19_SUPERF_INJURY_LOWER_LEG	Superficial injury of lower leg	Injury, poisoning and certain other consequences of external causes	0.975017362939282
-0.0252	Neoplasms from hospital discharges	CD2_BENIGN_OVARY_EXALLC	Benign neoplasm of ovary (other cancers excluded from controls)	0.7306	CD2_BENIGN_OVARY_EXALLC	Benign neoplasm of ovary (other cancers excluded from controls)	Neoplasms from hospital discharges	0.975114869550825
0.0291	Pregnancy, childbirth and the puerperium	O15_PREECLAMPS	Pre-eclampsia	0.7306	O15_PREECLAMPS	Pre-eclampsia	Pregnancy, childbirth and the puerperium	1.02952754208187
0.0566	Diseases of the skin and subcutaneous tissue	L12_IMPETIGO	Impetigo	0.7308	L12_IMPETIGO	Impetigo	Diseases of the skin and subcutaneous tissue	1.05823243275252
0.0728	Neoplasms from hospital discharges	CD2_INSITU_MELANOMA	Melanoma in situ	0.7309	CD2_INSITU_MELANOMA	Melanoma in situ	Neoplasms from hospital discharges	1.0755154123205
0.1235	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_HEPATOM_SPLENO_NOT_ELSEW_CLASSIFIED	Hepatomegaly and splenomegaly, not elsewhere classified	0.7324	R18_HEPATOM_SPLENO_NOT_ELSEW_CLASSIFIED	Hepatomegaly and splenomegaly, not elsewhere classified	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	1.13145000454208
-0.0959	Psychiatric endpoints	KRA_PSY_MOTOR	Motor disorders	0.7327	KRA_PSY_MOTOR	Motor disorders	Psychiatric endpoints	0.908554867012785
0.0708	Diseases of the circulatory system	I9_PERICAOTH	Other diseases of pericardium	0.7329	I9_PERICAOTH	Other diseases of pericardium	Diseases of the circulatory system	1.07336653109338
0.011	Diseases of the respiratory system	J10_ASTHMA_EXMORE	Asthma (more controls excluded)	0.7332	J10_ASTHMA_EXMORE	Asthma (more controls excluded)	Diseases of the respiratory system	1.01106072244472
0.0538	Certain infectious and parasitic diseases	AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	0.7339	AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	Certain infectious and parasitic diseases	1.05527352634293
-0.1161	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_OTHER_ABNORMALITI_PLASMA_PROTEINS	Other abnormalities of plasma proteins	0.7345	R18_OTHER_ABNORMALITI_PLASMA_PROTEINS	Other abnormalities of plasma proteins	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	0.890386180227371
-0.0538	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_ABNORMAL_SPERMATOZ	Abnormal spermatozoa	0.7346	R18_ABNORMAL_SPERMATOZ	Abnormal spermatozoa	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	0.947621611873004
-0.0556	Congenital malformations, deformations and chromosomal abnormalities	Q17_OTHER_CONGEN_MALFO_SKIN	Other congenital malformations of skin	0.7362	Q17_OTHER_CONGEN_MALFO_SKIN	Other congenital malformations of skin	Congenital malformations, deformations and chromosomal abnormalities	0.94591742719797
-0.0217	Diseases of the musculoskeletal system and connective tissue	M13_OTHCONN	Other systemic involvement of connective tissue	0.7363	M13_OTHCONN	Other systemic involvement of connective tissue	Diseases of the musculoskeletal system and connective tissue	0.978533751146938
0.1127	Diseases of the respiratory system	J10_ARDS	Adult respiratory distress syndrome	0.7369	J10_ARDS	Adult respiratory distress syndrome	Diseases of the respiratory system	1.1192960937471
-0.0417	Mental and behavioural disorders	F5_NEUROTICOTH	Other neurotic disorders	0.7378	F5_NEUROTICOTH	Other neurotic disorders	Mental and behavioural disorders	0.959157484660112
-0.0413	Neoplasms from cancer register	C3_ENDOCRINE_EXALLC	Malignant neoplasm of endocrine gland (other cancers excluded from controls)	0.7379	C3_ENDOCRINE_EXALLC	Malignant neoplasm of endocrine gland (other cancers excluded from controls)	Neoplasms from cancer register	0.959541224396806
-0.0266	Pregnancy, childbirth and the puerperium	O15_MEMBR_PREMAT_RUPT	Premature rupture of membranes	0.7381	O15_MEMBR_PREMAT_RUPT	Premature rupture of membranes	Pregnancy, childbirth and the puerperium	0.973750663900229
-0.094	Mental and behavioural disorders	F5_MOTOR	Specific developmental disorder of motor function	0.7386	F5_MOTOR	Specific developmental disorder of motor function	Mental and behavioural disorders	0.910282762240767
0.0838	Psychiatric endpoints	KRA_PSY_DEVWIDE_EXMORE	Wide developmental disorders (more controls excluded)	0.7393	KRA_PSY_DEVWIDE_EXMORE	Wide developmental disorders (more controls excluded)	Psychiatric endpoints	1.08741138978119
0.0637	Diseases of the nervous system	G6_PARKSCND	Secondary parkinsonism+Parkinsonism in other disease	0.7396	G6_PARKSCND	Secondary parkinsonism+Parkinsonism in other disease	Diseases of the nervous system	1.06577261901124
-0.053	Diseases of the genitourinary system	N14_CHRONTUBULOINTNEPHRITIS	Chronic tubulo-interstitial nephritis	0.7396	N14_CHRONTUBULOINTNEPHRITIS	Chronic tubulo-interstitial nephritis	Diseases of the genitourinary system	0.948380012482298
0.0225	Diseases of the digestive system	K11_OTHENTERCOL	Other noninfective gastroenteritis and colitis	0.7399	K11_OTHENTERCOL	Other noninfective gastroenteritis and colitis	Diseases of the digestive system	1.02275503416445
0.0701	Diseases of the musculoskeletal system and connective tissue	M13_LOOSEJOINT	Loose body in joint	0.7405	M13_LOOSEJOINT	Loose body in joint	Diseases of the musculoskeletal system and connective tissue	1.07261543743506
-0.0327	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	D3_ANAEMIA_B12_DEF	Vitamin B12 deficiency anaemia	0.7411	D3_ANAEMIA_B12_DEF	Vitamin B12 deficiency anaemia	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	0.967828864700498
0.0353	Diseases of the genitourinary system	N14_OTHBLADD	Other disorders of  bladder	0.7414	N14_OTHBLADD	Other disorders of  bladder	Diseases of the genitourinary system	1.03593044131981
0.0689	Psychiatric endpoints	KRA_PSY_DEVWIDE	Wide developmental disorders	0.7422	KRA_PSY_DEVWIDE	Wide developmental disorders	Psychiatric endpoints	1.07132907088443
-0.0115	Neoplasms from hospital discharges	CD2_BENIGN_LEIOMYOMA_UTERI	Leiomyoma of uterus	0.7424	CD2_BENIGN_LEIOMYOMA_UTERI	Leiomyoma of uterus	Neoplasms from hospital discharges	0.988565872247913
0.0461	Diseases of the ear and mastoid process	H8_EXT_OTH	Other otitis externa (chronic)	0.7424	H8_EXT_OTH	Other otitis externa (chronic)	Diseases of the ear and mastoid process	1.04717912363358
0.0351	Diseases of the ear and mastoid process	H8_HL_PRESBY	Presbycusis	0.7425	H8_HL_PRESBY	Presbycusis	Diseases of the ear and mastoid process	1.03572327594877
-0.0588	Gastrointestinal endpoints	OPER_TOTAL_COLECTOMY	Total colectomy operation	0.7433	OPER_TOTAL_COLECTOMY	Total colectomy operation	Gastrointestinal endpoints	0.942895329366324
-0.0341	Diseases of the musculoskeletal system and connective tissue	M13_PLANTARFASC	Plantar fascial fibromatosis	0.7442	M13_PLANTARFASC	Plantar fascial fibromatosis	Diseases of the musculoskeletal system and connective tissue	0.966474852319739
0.1058	Diseases of the nervous system	G6_ANOXBRAINDAM	Anoxic brain damage	0.7449	G6_ANOXBRAINDAM	Anoxic brain damage	Diseases of the nervous system	1.11159953436618
0.0647	Diseases of the digestive system	K11_HEPFAIL	Hepatic failure, not elsewhere classified	0.7456	K11_HEPFAIL	Hepatic failure, not elsewhere classified	Diseases of the digestive system	1.06683892469423
0.0688	Neoplasms from hospital discharges	CD2_BENIGN_ANUS_ANAL_CANAL_EXALLC	Benign neoplasm: Anus and anal canal (other cancers excluded from controls)	0.7457	CD2_BENIGN_ANUS_ANAL_CANAL_EXALLC	Benign neoplasm: Anus and anal canal (other cancers excluded from controls)	Neoplasms from hospital discharges	1.07122194333381
0.0704	Neoplasms from cancer register	C3_LIVER_INTRAHEPATIC_BILE_DUCTS	Malignant neoplasm of liver and intrahepatic bile ducts	0.7462	C3_LIVER_INTRAHEPATIC_BILE_DUCTS	Malignant neoplasm of liver and intrahepatic bile ducts	Neoplasms from cancer register	1.07293727033881
0.0454	Diseases of the ear and mastoid process	H8_CHOLEASTOMA	Cholesteatoma of middle ear	0.7476	H8_CHOLEASTOMA	Cholesteatoma of middle ear	Diseases of the ear and mastoid process	1.04644635474607
-0.018	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	D3_OTHERANAEMIA	Other anaemias	0.7484	D3_OTHERANAEMIA	Other anaemias	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	0.982161032358301
-0.016	Injury, poisoning and certain other consequences of external causes	ST19_OPEN_WOUND_WRIST_HAND	Open wound of wrist and hand	0.7488	ST19_OPEN_WOUND_WRIST_HAND	Open wound of wrist and hand	Injury, poisoning and certain other consequences of external causes	0.984127320055285
-0.0214	Rheuma endpoints	OTHER_SYSTCON_FG	Other systemic involvement of connective tissue (FG)	0.7492	OTHER_SYSTCON_FG	Other systemic involvement of connective tissue (FG)	Rheuma endpoints	0.978827355310705
-0.0464	Diseases of the musculoskeletal system and connective tissue	M13_OLECRANONBURSITIS	Olecranon bursitis	0.7492	M13_OLECRANONBURSITIS	Olecranon bursitis	Diseases of the musculoskeletal system and connective tissue	0.954660021799009
-0.0944	Certain infectious and parasitic diseases	AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	0.7495	AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	Certain infectious and parasitic diseases	0.909918721948783
-0.0385	Diseases of the musculoskeletal system and connective tissue	M13_SCOLIOSIS	Scoliosis	0.7506	M13_SCOLIOSIS	Scoliosis	Diseases of the musculoskeletal system and connective tissue	0.962231704739817
0.0672	Neoplasms from hospital discharges	CD2_INSITU_MELANOMA_EXALLC	Melanoma in situ (other cancers excluded from controls)	0.7511	CD2_INSITU_MELANOMA_EXALLC	Melanoma in situ (other cancers excluded from controls)	Neoplasms from hospital discharges	1.06950935865757
0.0181	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_HAEMORRHAGE_RESPI_PASSA	Haemorrhage from respiratory passages	0.7524	R18_HAEMORRHAGE_RESPI_PASSA	Haemorrhage from respiratory passages	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	1.01826479777842
-0.026	Endocrine, nutritional and metabolic diseases	E4_DM1_STRICT	Type 1 diabetes, strict (exclude DM2)	0.7526	E4_DM1_STRICT	Type 1 diabetes, strict (exclude DM2)	Endocrine, nutritional and metabolic diseases	0.974335089608749
0.0364	Diseases of the genitourinary system	N14_OTHNONINFVAG	Other noninflammatory disorders of vagina	0.7532	N14_OTHNONINFVAG	Other noninflammatory disorders of vagina	Diseases of the genitourinary system	1.03707059177305
0.0108	Diseases of the respiratory system	J10_ASTHMA_MAIN_EXMORE	Asthma (only as main-diagnosis) (more controls excluded)	0.754	J10_ASTHMA_MAIN_EXMORE	Asthma (only as main-diagnosis) (more controls excluded)	Diseases of the respiratory system	1.0108585305201
0.0095	Diseases of the circulatory system	I9_IHD	Ischaemic heart disease, wide definition	0.7541	I9_IHD	Ischaemic heart disease, wide definition	Diseases of the circulatory system	1.00954526823586
0.0181	Endocrine, nutritional and metabolic diseases	E4_DM1	Type 1 diabetes	0.7543	E4_DM1	Type 1 diabetes	Endocrine, nutritional and metabolic diseases	1.01826479777842
-0.0676	Injury, poisoning and certain other consequences of external causes	ST19_TRAUMAT_SUBAR_HAEMORRHAGE	Traumatic subarachnoid haemorrhage	0.7553	ST19_TRAUMAT_SUBAR_HAEMORRHAGE	Traumatic subarachnoid haemorrhage	Injury, poisoning and certain other consequences of external causes	0.934634252517449
0.0088	Other	PULM_PSYCH_COMORB	Psychiatric comorbidites (Asthma/COPD)	0.7557	PULM_PSYCH_COMORB	Psychiatric comorbidites (Asthma/COPD)	Other	1.00883883382898
-0.0527	Endocrine, nutritional and metabolic diseases	E4_HYPERPRO	Hyperprolactinaemia	0.7557	E4_HYPERPRO	Hyperprolactinaemia	Endocrine, nutritional and metabolic diseases	0.948664569167411
0.105	Psychiatric endpoints	KRA_PSY_CHILDSOC	Social disorders starting during childhood or adolecense	0.7564	KRA_PSY_CHILDSOC	Social disorders starting during childhood or adolecense	Psychiatric endpoints	1.11071061035571
0.0307	Endocrine, nutritional and metabolic diseases	E4_LIPOPROTNAS	Disorder of lipoprotein metabolism, unspecified	0.7566	E4_LIPOPROTNAS	Disorder of lipoprotein metabolism, unspecified	Endocrine, nutritional and metabolic diseases	1.03117610464756
0.01	Diseases of the respiratory system	J10_ASTHMA	Asthma	0.7574	J10_ASTHMA	Asthma	Diseases of the respiratory system	1.01005016708417
-0.074	Diseases of the musculoskeletal system and connective tissue	M13_ENTEROARTHR	Enteropathic arthropathies	0.7576	M13_ENTEROARTHR	Enteropathic arthropathies	Diseases of the musculoskeletal system and connective tissue	0.928671693841287
-0.0966	Psychiatric endpoints	KRA_PSY_MOTOR_EXMORE	Motor disorders (more controls excluded)	0.7577	KRA_PSY_MOTOR_EXMORE	Motor disorders (more controls excluded)	Psychiatric endpoints	0.907919101149888
-0.0373	Diseases of the digestive system	K11_OTHINT	Other diseases of intestine	0.7578	K11_OTHINT	Other diseases of intestine	Diseases of the digestive system	0.963387075869539
0.0473	Diseases of the circulatory system	I9_LBBB	Left bundle-branch block	0.7578	I9_LBBB	Left bundle-branch block	Diseases of the circulatory system	1.04843649285259
0.0571	Diseases of the genitourinary system	N14_OTHDISMALEGEN	Other disorders of male genital organs	0.7593	N14_OTHDISMALEGEN	Other disorders of male genital organs	Diseases of the genitourinary system	1.05876168127
0.0873	Neoplasms from hospital discharges	CD2_BENIGN_MENINGES_NOS_EXALLC	Beningn neoplasm: Meninges, unspecified (other cancers excluded from controls)	0.7595	CD2_BENIGN_MENINGES_NOS_EXALLC	Beningn neoplasm: Meninges, unspecified (other cancers excluded from controls)	Neoplasms from hospital discharges	1.09122399781745
0.0866	Neoplasms from hospital discharges	CD2_BENIGN_MENINGES_NOS	Beningn neoplasm: Meninges, unspecified	0.7611	CD2_BENIGN_MENINGES_NOS	Beningn neoplasm: Meninges, unspecified	Neoplasms from hospital discharges	1.09046040830649
0.0299	Diseases of the genitourinary system	N14_PROSTATITIS	Inflammatory diseases of prostate (prostatitis)	0.7629	N14_PROSTATITIS	Inflammatory diseases of prostate (prostatitis)	Diseases of the genitourinary system	1.03035149365222
-0.1048	Diseases of the skin and subcutaneous tissue	L12_VITILIGO	Vitiligo	0.7632	L12_VITILIGO	Vitiligo	Diseases of the skin and subcutaneous tissue	0.900504605498474
0.0292	Mental and behavioural disorders	F5_PSYCHDEV	Disorders of psychological developtment	0.7645	F5_PSYCHDEV	Disorders of psychological developtment	Mental and behavioural disorders	1.02963049998389
-0.1028	Diseases of the nervous system	G6_DISBROTHUNS	Disorders of brain, other and unspecified	0.7651	G6_DISBROTHUNS	Disorders of brain, other and unspecified	Diseases of the nervous system	0.902307416919955
0.0264	Endocrine, nutritional and metabolic diseases	E4_HYPOOSMNAT	Hypo-osmolality and hyponatraemia	0.7661	E4_HYPOOSMNAT	Hypo-osmolality and hyponatraemia	Endocrine, nutritional and metabolic diseases	1.02675156697106
-0.0427	Neoplasms from hospital discharges	CD2_BENIGN_UTERUS_NOS	Other benign neoplasm of uterus: Other parts/unspecified	0.7663	CD2_BENIGN_UTERUS_NOS	Other benign neoplasm of uterus: Other parts/unspecified	Neoplasms from hospital discharges	0.958198806594374
0.0589	Factors influencing health status and contact with health services	Z21_PROBL_RELATED_SOCIAL_ENVIRONMENT	Problems related to social environment	0.767	Z21_PROBL_RELATED_SOCIAL_ENVIRONMENT	Problems related to social environment	Factors influencing health status and contact with health services	1.06066916851978
0.0352	Pregnancy, childbirth and the puerperium	O15_EXIST_HYPERT_COMPLIC	Pre-existing hypertension complicating pregnancy, childbirth and the puerperium	0.7671	O15_EXIST_HYPERT_COMPLIC	Pre-existing hypertension complicating pregnancy, childbirth and the puerperium	Pregnancy, childbirth and the puerperium	1.03582685345516
0.0122	Diseases of the skin and subcutaneous tissue	L12_DERMATITISNAS	Other and unspecified dermatitis	0.7674	L12_DERMATITISNAS	Other and unspecified dermatitis	Diseases of the skin and subcutaneous tissue	1.01227472356665
0.0071	Neoplasms from cancer register	C3_CANCER	Malignant neoplasm	0.7675	C3_CANCER	Malignant neoplasm	Neoplasms from cancer register	1.00712526475787
0.0201	Other	FG_PULMHEART	Pulmonary heart disease	0.7676	FG_PULMHEART	Pulmonary heart disease	Other	1.02030336526194
0.0201	Diseases of the circulatory system	I9_PULMEMB	Pulmonary embolism	0.7684	I9_PULMEMB	Pulmonary embolism	Diseases of the circulatory system	1.02030336526194
0.014	Endocrine, nutritional and metabolic diseases	E4_ENDOGLAND	Disorders of other endocrine glands	0.7686	E4_ENDOGLAND	Disorders of other endocrine glands	Endocrine, nutritional and metabolic diseases	1.01409845893849
-0.0525	Mental and behavioural disorders	F5_STIMUL	Mental and behavioural disorders due to use of other stimulants, including caffeine	0.7689	F5_STIMUL	Mental and behavioural disorders due to use of other stimulants, including caffeine	Mental and behavioural disorders	0.948854321055801
0.0238	Diseases of the genitourinary system	N14_HYDROCELE	Hydrocele	0.7699	N14_HYDROCELE	Hydrocele	Diseases of the genitourinary system	1.02408548031148
-0.0136	Diseases of the genitourinary system	N14_CYSTITIS	Cystitis	0.77	N14_CYSTITIS	Cystitis	Diseases of the genitourinary system	0.98649206217889
0.0161	Diseases of the musculoskeletal system and connective tissue	M13_RHEUMA	Rheumatoid arthritis	0.7707	M13_RHEUMA	Rheumatoid arthritis	Diseases of the musculoskeletal system and connective tissue	1.01623030335545
-0.0664	Diseases of the circulatory system	I9_CARDMYOHYP	Cardiomyopathy, Hypertrophic obstructive	0.7709	I9_CARDMYOHYP	Cardiomyopathy, Hypertrophic obstructive	Diseases of the circulatory system	0.935756486826387
0.0182	Endocrine, nutritional and metabolic diseases	E4_DM1NOCOMP	Type 1 diabetes without complications	0.7723	E4_DM1NOCOMP	Type 1 diabetes without complications	Endocrine, nutritional and metabolic diseases	1.01836662934969
0.0458	Neoplasms from hospital discharges	CD2_BENIGN_PITUITARY_CRANIPHAR	Benign neoplasm: Pituitary gland, craniopharyngeal duct	0.7724	CD2_BENIGN_PITUITARY_CRANIPHAR	Benign neoplasm: Pituitary gland, craniopharyngeal duct	Neoplasms from hospital discharges	1.04686501701484
-0.0089	Mental and behavioural disorders	F5_NEUROTIC	Neurotic, stress-related and somatoform disorders	0.7724	F5_NEUROTIC	Neurotic, stress-related and somatoform disorders	Mental and behavioural disorders	0.991139487766128
-0.0574	Congenital malformations, deformations and chromosomal abnormalities	Q17_CONGEN_MALFO_AORTIC_MITRAL_VALVES	Congenital malformations of aortic and mitral valves	0.773	Q17_CONGEN_MALFO_AORTIC_MITRAL_VALVES	Congenital malformations of aortic and mitral valves	Congenital malformations, deformations and chromosomal abnormalities	0.944216307296228
-0.0815	Other	COPD_OPPORTUNIST_INFECTIONS	COPD related to chronic (opportunist) infections	0.7741	COPD_OPPORTUNIST_INFECTIONS	COPD related to chronic (opportunist) infections	Other	0.921732709853887
